name,artist,cover_url,album_url,album_path
Too Mean to Die,Accept,https://i.scdn.co/image/ab67616d0000b2733a2a931c2fe28e89a7169cc7,https://open.spotify.com/album/1Ua7bczSzWunvSHJQ44tQD,metal/Too-Mean-to-Die-Accept.jpg
Livgardet,Sabaton,https://i.scdn.co/image/ab67616d0000b2731b791f6047c0d4b3c449f0a9,https://open.spotify.com/album/6hCHXXz9yhMyKRo5HJ8P0U,metal/Livgardet-Sabaton.jpg
Metal Division,Mystic-Prophecy,https://i.scdn.co/image/ab67616d0000b2734ef0fdee4fb2d6e6f1d5ac32,https://open.spotify.com/album/0cVq9qXjU2QnlocsDrHrRr,metal/Metal-Division-Mystic-Prophecy.jpg
Masters of War,Amon-Amarth,https://i.scdn.co/image/ab67616d0000b27349577baa6d847f685fc4262a,https://open.spotify.com/album/0w8qn4MsyCw0d8i98QiZTh,metal/Masters-of-War-Amon-Amarth.jpg
The Fairies Dance,Tungsten,https://i.scdn.co/image/ab67616d0000b2738e3f5ac2c30fadf5e184041b,https://open.spotify.com/album/1sdcE2Sl6vbPR3mkHNOalB,metal/The-Fairies-Dance-Tungsten.jpg
Diabolic,Demons-&-Wizards,https://i.scdn.co/image/ab67616d0000b273eac3203b6e94d8dbae3271bc,https://open.spotify.com/album/0n3kyg04BzlX1kvoIh0Y2n,metal/Diabolic-Demons-&-Wizards.jpg
Reinventing the Steel - 20th Anniversary Deluxe Edition,Pantera,https://i.scdn.co/image/ab67616d0000b27362742293cb15ec85e9144585,https://open.spotify.com/album/2nhNrmeayyt111lqj6Om4L,metal/Reinventing-the-Steel---20th-Anniversary-Deluxe-Edition-Pantera.jpg
Forged in Metal,Manimal,https://i.scdn.co/image/ab67616d0000b273497a65e38d90ed03486d8e5b,https://open.spotify.com/album/6k1HronIE7vIrxWoLccq93,metal/Forged-in-Metal-Manimal.jpg
Bloodline,Arion,https://i.scdn.co/image/ab67616d0000b273051dcf8cdbcb6903802715a7,https://open.spotify.com/album/4tt6KdVt97D0xhbIPUeB4l,metal/Bloodline-Arion.jpg
Ire,Parkway-Drive,https://i.scdn.co/image/ab67616d0000b2734ee2e3b325d7ba12edd81b1f,https://open.spotify.com/album/7712cWOELt2oQyxrlFWY8D,metal/Ire-Parkway-Drive.jpg
Man and Machine (Anniversary Edition),U.D.O.,https://i.scdn.co/image/ab67616d0000b273d75283b3d14ce023a358d438,https://open.spotify.com/album/7i7G8arUFvjxlcWHSjoWWJ,metal/Man-and-Machine-(Anniversary-Edition)-U.D.O..jpg
Sweet True Lies,Beast-In-Black,https://i.scdn.co/image/ab67616d0000b273a13935ba1319034dba2091ff,https://open.spotify.com/album/1MdhPZSgzhLfCMtkJptQX3,metal/Sweet-True-Lies-Beast-In-Black.jpg
Dead on the Vine,Metal-Church,https://i.scdn.co/image/ab67616d0000b273956de98bf5a0d72b6679b285,https://open.spotify.com/album/2hKqORo0SRImOzkUFZ0Gt1,metal/Dead-on-the-Vine-Metal-Church.jpg
Death by Design,Diamond-Head,https://i.scdn.co/image/ab67616d0000b273a3243bf82d616d297d447a4f,https://open.spotify.com/album/4uaOVHeCyMjxq2nSKHVLV0,metal/Death-by-Design-Diamond-Head.jpg
When Sparks Ignite,Darkhaus,https://i.scdn.co/image/ab67616d0000b273e6f295291d8e447a92c40a6e,https://open.spotify.com/album/42CN8XeBps5yftXwjsWH3w,metal/When-Sparks-Ignite-Darkhaus.jpg
H.E.A.T II,H.E.A.T,https://i.scdn.co/image/ab67616d0000b2738bbb678e793fc4ccafee66d1,https://open.spotify.com/album/15sPcYoNcEXrAEKCz2No3M,metal/H.E.A.T-II-H.E.A.T.jpg
The Royal Guard,Sabaton,https://i.scdn.co/image/ab67616d0000b27377f5109af7d43dfa7e9078e0,https://open.spotify.com/album/66MqUrsicmrueRI5ESINJe,metal/The-Royal-Guard-Sabaton.jpg
Dines X Heafy,Dines-X-Heafy,https://i.scdn.co/image/ab67616d0000b2733e67a0609b2d26876e5d69e2,https://open.spotify.com/album/3MtAMN8DNP0tUQaVMiqns4,metal/Dines-X-Heafy-Dines-X-Heafy.jpg
